age,gender,hours_spent,platform,interests,location,demographics,profession,income,indebt,home_owner,car_owner,status
57,non-binary,9,Facebook,Travel,United Kingdom,Urban,Software Engineer,15507,1,0,0,normic
56,non-binary,9,YouTube,Travel,United States,Sub_Urban,Student,14235,1,0,1,normic
35,male,9,Instagram,Travel,Australia,Urban,Software Engineer,10540,0,0,1,normic
57,male,2,Facebook,Travel,United Kingdom,Urban,Marketer Manager,15510,1,0,0,normic
18,non-binary,3,Instagram,Lifestlye,United Kingdom,Urban,Marketer Manager,18461,1,1,1,normic
28,non-binary,7,YouTube,Lifestlye,Australia,Sub_Urban,Student,17926,0,0,0,normic
45,non-binary,5,Facebook,Lifestlye,United States,Rural,Software Engineer,15131,1,1,1,normic
42,female,2,Instagram,Lifestlye,Australia,Sub_Urban,Marketer Manager,18697,0,1,0,normic
40,female,3,YouTube,Sports,Australia,Urban,Software Engineer,11129,1,1,1,normic
48,non-binary,6,Instagram,Lifestlye,Australia,Urban,Software Engineer,13145,0,0,1,normic
47,female,7,Instagram,Travel,United Kingdom,Sub_Urban,Marketer Manager,18553,1,1,1,normic
59,female,9,Instagram,Lifestlye,United States,Urban,Software Engineer,13720,1,0,0,loser
52,male,1,YouTube,Sports,United States,Urban,Marketer Manager,19648,1,0,0,normic
24,non-binary,7,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,14067,0,0,0,normic
33,non-binary,8,Instagram,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,14195,1,0,0,loser
43,female,3,Facebook,Lifestlye,Australia,Sub_Urban,Software Engineer,19873,1,0,0,normic
19,non-binary,4,Facebook,Lifestlye,United Kingdom,Urban,Marketer Manager,19244,0,1,1,chad
18,male,6,YouTube,Travel,United Kingdom,Urban,Software Engineer,17281,0,1,1,chad
29,male,7,YouTube,Travel,United Kingdom,Rural,Marketer Manager,12509,1,0,1,normic
22,male,4,YouTube,Sports,United Kingdom,Rural,Marketer Manager,15016,1,1,1,normic
54,non-binary,8,YouTube,Travel,United States,Sub_Urban,Student,16533,1,0,1,normic
49,non-binary,5,YouTube,Travel,United Kingdom,Rural,Student,14727,1,1,0,normic
26,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban,Student,10681,0,1,1,normic
58,non-binary,4,YouTube,Travel,Australia,Rural,Software Engineer,13932,1,1,0,normic
52,non-binary,3,Instagram,Lifestlye,Australia,Urban,Software Engineer,15560,1,1,1,normic
36,male,9,Instagram,Lifestlye,United States,Sub_Urban,Marketer Manager,14016,0,1,0,normic
33,female,8,Facebook,Travel,Australia,Sub_Urban,Marketer Manager,17339,1,1,0,normic
20,male,1,Instagram,Sports,United Kingdom,Urban,Marketer Manager,10719,1,1,0,normic
37,non-binary,6,Facebook,Sports,Australia,Rural,Marketer Manager,10074,1,1,1,normic
41,male,9,Facebook,Travel,United States,Sub_Urban,Software Engineer,19485,0,1,1,chad
50,non-binary,7,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,14157,0,1,1,normic
41,non-binary,4,YouTube,Lifestlye,Australia,Rural,Marketer Manager,18511,1,1,1,normic
28,male,1,Instagram,Lifestlye,United States,Rural,Student,12149,1,1,0,normic
25,non-binary,2,Instagram,Travel,United States,Urban,Marketer Manager,19644,0,1,0,normic
53,female,5,Facebook,Sports,United Kingdom,Rural,Marketer Manager,19747,1,0,0,normic
55,non-binary,5,Instagram,Sports,Australia,Rural,Marketer Manager,16713,1,1,0,normic
57,female,8,Facebook,Lifestlye,United Kingdom,Rural,Software Engineer,14207,0,1,1,normic
37,female,6,YouTube,Travel,Australia,Urban,Student,17141,0,1,0,normic
52,non-binary,8,YouTube,Sports,Australia,Urban,Marketer Manager,18652,0,1,1,chad
42,male,2,YouTube,Travel,United Kingdom,Sub_Urban,Marketer Manager,19078,1,1,0,normic
52,female,3,Instagram,Sports,Australia,Urban,Student,13936,1,1,0,normic
42,male,6,Facebook,Lifestlye,Australia,Sub_Urban,Marketer Manager,19307,1,0,0,normic
46,female,3,YouTube,Lifestlye,Australia,Rural,Software Engineer,11075,1,0,1,normic
35,non-binary,6,Facebook,Travel,United States,Sub_Urban,Marketer Manager,13876,0,0,1,normic
63,non-binary,6,Facebook,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,14615,1,1,0,normic
35,female,2,YouTube,Sports,United States,Rural,Software Engineer,17265,1,1,0,normic
19,non-binary,7,YouTube,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,16379,0,1,0,normic
52,female,2,Facebook,Travel,United Kingdom,Urban,Student,19118,0,0,1,normic
33,non-binary,6,YouTube,Travel,Australia,Urban,Software Engineer,14652,1,1,1,normic
58,male,1,Facebook,Travel,United Kingdom,Urban,Student,16792,0,1,1,chad
53,non-binary,3,Facebook,Sports,United States,Urban,Marketer Manager,19247,0,0,0,normic
50,male,2,YouTube,Sports,United States,Sub_Urban,Software Engineer,17456,1,0,1,normic
21,non-binary,7,Instagram,Sports,United States,Sub_Urban,Marketer Manager,14674,1,1,0,normic
50,male,4,YouTube,Sports,United Kingdom,Rural,Student,10541,1,1,1,normic
31,non-binary,8,Instagram,Sports,United States,Sub_Urban,Marketer Manager,12161,1,1,0,normic
38,male,6,Facebook,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,12251,0,1,0,normic
37,female,4,Facebook,Sports,United States,Sub_Urban,Software Engineer,19244,0,0,1,normic
25,female,5,Instagram,Sports,United States,Rural,Marketer Manager,14569,1,1,0,normic
24,male,9,Facebook,Lifestlye,United Kingdom,Urban,Marketer Manager,12744,1,1,0,normic
20,non-binary,7,Instagram,Sports,United States,Sub_Urban,Marketer Manager,16041,0,0,0,normic
34,male,9,Instagram,Travel,Australia,Rural,Software Engineer,14675,1,1,1,normic
50,non-binary,7,Facebook,Sports,United Kingdom,Rural,Student,11560,1,1,0,normic
29,female,1,Instagram,Sports,United Kingdom,Rural,Student,11164,1,0,1,normic
39,non-binary,8,YouTube,Travel,United Kingdom,Urban,Marketer Manager,15419,1,0,1,normic
39,female,4,YouTube,Travel,Australia,Sub_Urban,Software Engineer,12722,0,1,0,normic
63,non-binary,3,Facebook,Travel,United Kingdom,Rural,Marketer Manager,10470,1,0,1,normic
47,non-binary,7,Facebook,Travel,United States,Urban,Student,19608,0,0,0,normic
55,non-binary,3,Instagram,Sports,United States,Rural,Software Engineer,11468,1,1,1,normic
55,male,8,Instagram,Travel,United States,Rural,Student,17925,1,0,0,normic
62,male,6,Instagram,Travel,United Kingdom,Rural,Student,10808,0,1,1,normic
25,female,5,Instagram,Lifestlye,United States,Rural,Software Engineer,18363,1,1,0,normic
44,female,4,YouTube,Travel,United Kingdom,Rural,Software Engineer,16719,0,1,0,normic
44,male,8,YouTube,Travel,United States,Urban,Marketer Manager,15073,1,1,0,normic
51,female,8,Facebook,Lifestlye,Australia,Sub_Urban,Marketer Manager,18012,1,0,0,normic
38,male,1,Instagram,Lifestlye,Australia,Sub_Urban,Student,11645,1,1,1,normic
47,non-binary,9,Instagram,Sports,Australia,Sub_Urban,Software Engineer,18249,1,1,1,normic
50,female,5,Facebook,Lifestlye,Australia,Sub_Urban,Software Engineer,11129,1,1,0,normic
45,female,4,Instagram,Sports,United Kingdom,Urban,Marketer Manager,11353,0,1,1,normic
64,male,6,Instagram,Lifestlye,United States,Urban,Student,10767,0,0,0,normic
50,female,6,Instagram,Lifestlye,Australia,Urban,Student,13895,1,0,0,normic
22,female,2,Instagram,Sports,United Kingdom,Rural,Marketer Manager,18874,1,0,1,normic
36,non-binary,8,Instagram,Lifestlye,Australia,Rural,Software Engineer,13454,0,1,1,normic
21,female,7,Facebook,Sports,Australia,Rural,Marketer Manager,17329,0,0,0,normic
52,non-binary,1,Instagram,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,11790,1,0,1,normic
34,male,5,Facebook,Travel,United Kingdom,Rural,Marketer Manager,19669,1,1,0,normic
61,female,6,Instagram,Lifestlye,United States,Sub_Urban,Marketer Manager,10885,0,0,1,normic
45,non-binary,4,YouTube,Sports,United States,Rural,Software Engineer,17734,1,1,1,normic
47,male,2,YouTube,Lifestlye,Australia,Sub_Urban,Marketer Manager,13906,0,0,1,normic
46,female,4,YouTube,Sports,Australia,Rural,Software Engineer,14492,1,0,1,normic
63,male,1,YouTube,Sports,United States,Rural,Marketer Manager,19730,0,0,1,normic
23,female,7,Facebook,Travel,United States,Urban,Student,12073,0,0,0,normic
52,male,2,Facebook,Travel,United Kingdom,Rural,Software Engineer,10312,1,1,1,normic
58,male,2,Instagram,Sports,United States,Rural,Student,16269,0,1,1,chad
54,non-binary,9,YouTube,Lifestlye,United States,Urban,Marketer Manager,15317,1,0,0,normic
41,male,5,Facebook,Sports,Australia,Sub_Urban,Marketer Manager,10810,1,1,0,normic
46,female,2,Instagram,Sports,United States,Urban,Marketer Manager,16841,1,0,0,normic
63,female,9,Instagram,Lifestlye,Australia,Urban,Software Engineer,12032,1,0,1,normic
48,non-binary,9,Facebook,Lifestlye,United States,Sub_Urban,Student,19699,0,0,1,normic
52,female,1,YouTube,Lifestlye,United Kingdom,Rural,Software Engineer,17129,1,0,0,normic
50,female,3,Instagram,Lifestlye,United States,Sub_Urban,Software Engineer,12705,1,0,0,loser
38,female,4,YouTube,Sports,United States,Rural,Marketer Manager,18788,1,0,0,normic
49,male,7,YouTube,Sports,United States,Rural,Student,12147,1,1,0,normic
40,male,4,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,10615,0,1,1,normic
50,female,2,Instagram,Sports,United Kingdom,Urban,Software Engineer,10947,1,0,1,normic
20,non-binary,7,YouTube,Lifestlye,United States,Sub_Urban,Marketer Manager,15677,0,1,1,chad
35,male,6,Instagram,Travel,Australia,Rural,Student,14651,0,0,1,normic
42,non-binary,3,YouTube,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,17866,0,1,1,chad
59,female,6,Instagram,Sports,Australia,Sub_Urban,Student,12013,1,1,0,normic
48,female,6,YouTube,Travel,Australia,Rural,Student,13697,1,1,1,normic
20,male,5,Facebook,Lifestlye,United Kingdom,Urban,Marketer Manager,10490,1,0,0,loser
57,female,4,YouTube,Travel,United States,Sub_Urban,Software Engineer,14350,1,1,0,normic
63,male,1,YouTube,Travel,Australia,Rural,Marketer Manager,12428,0,0,0,normic
41,female,6,Instagram,Sports,Australia,Rural,Software Engineer,14987,0,0,1,normic
49,female,2,Instagram,Lifestlye,United States,Sub_Urban,Software Engineer,18733,1,0,0,normic
64,male,3,YouTube,Travel,United States,Urban,Marketer Manager,19479,1,1,1,normic
39,male,8,Facebook,Travel,United Kingdom,Sub_Urban,Software Engineer,19825,1,1,0,normic
40,male,6,Facebook,Lifestlye,United Kingdom,Urban,Software Engineer,14920,1,1,1,normic
19,female,3,Instagram,Travel,United Kingdom,Urban,Marketer Manager,12926,1,0,0,loser
44,female,7,Facebook,Travel,United States,Urban,Marketer Manager,19544,1,0,1,normic
59,non-binary,4,YouTube,Travel,Australia,Urban,Marketer Manager,17282,1,1,0,normic
19,male,9,Instagram,Lifestlye,Australia,Sub_Urban,Software Engineer,14376,0,0,0,normic
43,female,5,YouTube,Lifestlye,United Kingdom,Rural,Student,19490,0,1,0,normic
34,female,3,Instagram,Lifestlye,United States,Rural,Software Engineer,14868,0,1,0,normic
57,male,2,Instagram,Lifestlye,Australia,Rural,Student,16986,0,1,1,chad
50,non-binary,2,Instagram,Sports,United Kingdom,Rural,Marketer Manager,16862,1,1,1,normic
26,male,3,Instagram,Travel,Australia,Rural,Student,14423,1,0,1,normic
60,non-binary,2,Facebook,Lifestlye,Australia,Rural,Marketer Manager,16870,1,1,0,normic
56,female,4,YouTube,Travel,United States,Sub_Urban,Marketer Manager,18159,1,1,0,normic
46,non-binary,2,YouTube,Travel,United States,Urban,Student,12073,1,1,0,normic
59,female,9,YouTube,Sports,Australia,Rural,Marketer Manager,16170,0,1,0,normic
43,male,2,Instagram,Lifestlye,United Kingdom,Sub_Urban,Student,10701,1,1,0,normic
52,male,9,Facebook,Lifestlye,United States,Rural,Marketer Manager,18113,0,1,0,normic
42,male,6,YouTube,Travel,Australia,Rural,Software Engineer,16825,1,1,1,normic
41,non-binary,1,Facebook,Lifestlye,United States,Urban,Software Engineer,17867,0,0,1,normic
30,female,4,Instagram,Travel,United States,Urban,Marketer Manager,14264,1,0,1,normic
24,male,1,YouTube,Travel,United States,Urban,Marketer Manager,17968,0,0,1,normic
53,male,6,Facebook,Sports,Australia,Rural,Student,18146,1,0,1,normic
62,female,4,Instagram,Sports,United Kingdom,Rural,Software Engineer,17776,1,1,1,normic
37,male,3,Facebook,Sports,United Kingdom,Rural,Student,18558,1,0,1,normic
18,female,3,YouTube,Travel,United Kingdom,Urban,Marketer Manager,18719,1,0,1,normic
25,female,9,YouTube,Lifestlye,United States,Sub_Urban,Marketer Manager,14886,0,0,0,normic
63,female,6,Instagram,Sports,Australia,Rural,Student,13935,1,1,0,normic
33,female,9,Instagram,Lifestlye,United States,Rural,Marketer Manager,14619,0,0,0,normic
31,female,5,Instagram,Sports,United Kingdom,Rural,Software Engineer,15191,1,0,0,normic
29,non-binary,2,Facebook,Sports,United Kingdom,Sub_Urban,Student,16875,0,1,0,normic
40,male,8,Facebook,Travel,Australia,Rural,Software Engineer,17856,1,0,0,normic
32,non-binary,5,Facebook,Sports,United States,Sub_Urban,Software Engineer,15401,1,1,0,normic
45,male,2,Instagram,Sports,United Kingdom,Rural,Software Engineer,13022,0,0,1,normic
51,non-binary,4,YouTube,Travel,Australia,Sub_Urban,Student,15738,1,1,1,normic
19,female,9,YouTube,Lifestlye,United States,Rural,Marketer Manager,15984,1,0,0,normic
49,male,4,Facebook,Sports,United States,Urban,Software Engineer,11770,0,0,1,normic
40,male,4,Facebook,Travel,United Kingdom,Urban,Software Engineer,19969,1,0,1,normic
39,non-binary,2,YouTube,Sports,United Kingdom,Urban,Software Engineer,18989,0,1,1,chad
42,non-binary,6,YouTube,Travel,United States,Urban,Marketer Manager,13215,1,0,1,normic
39,male,2,Facebook,Lifestlye,United States,Rural,Marketer Manager,16694,0,1,1,chad
39,non-binary,7,Facebook,Lifestlye,United Kingdom,Urban,Student,12976,0,1,0,normic
59,non-binary,3,YouTube,Travel,United States,Sub_Urban,Marketer Manager,13737,0,1,1,normic
23,non-binary,3,Instagram,Travel,United Kingdom,Urban,Student,19903,0,1,0,normic
32,female,5,Facebook,Travel,United States,Urban,Student,10752,1,0,0,normic
60,female,3,YouTube,Lifestlye,United Kingdom,Urban,Student,11392,1,0,0,normic
54,non-binary,2,YouTube,Sports,Australia,Rural,Student,16789,0,0,1,normic
50,non-binary,9,YouTube,Lifestlye,United Kingdom,Urban,Student,10677,1,1,0,normic
25,female,2,YouTube,Travel,United Kingdom,Sub_Urban,Software Engineer,10105,1,0,0,loser
61,female,2,Instagram,Travel,Australia,Urban,Marketer Manager,14753,1,1,0,normic
61,male,8,YouTube,Lifestlye,United States,Urban,Software Engineer,11946,0,1,0,normic
22,male,9,Facebook,Travel,Australia,Urban,Student,15544,1,1,1,normic
56,female,7,Instagram,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,11095,1,0,0,loser
21,non-binary,3,YouTube,Travel,United States,Urban,Software Engineer,16985,0,0,0,normic
23,non-binary,9,Instagram,Sports,Australia,Sub_Urban,Software Engineer,11782,1,1,0,normic
62,non-binary,3,Facebook,Sports,United States,Sub_Urban,Student,14541,0,0,0,normic
49,non-binary,5,YouTube,Travel,United States,Urban,Software Engineer,13257,0,0,1,normic
47,male,9,Facebook,Lifestlye,Australia,Sub_Urban,Software Engineer,16213,0,1,0,normic
64,female,3,YouTube,Sports,United States,Rural,Software Engineer,14869,1,1,0,normic
52,non-binary,7,YouTube,Lifestlye,Australia,Urban,Software Engineer,11561,1,0,0,loser
57,male,1,YouTube,Travel,United Kingdom,Urban,Software Engineer,14006,0,1,0,normic
33,non-binary,4,YouTube,Lifestlye,United States,Sub_Urban,Student,19867,0,1,0,normic
30,female,4,YouTube,Sports,United Kingdom,Sub_Urban,Student,19314,0,0,0,normic
59,male,7,Instagram,Lifestlye,United Kingdom,Urban,Software Engineer,13981,0,0,1,normic
47,female,8,YouTube,Lifestlye,United States,Rural,Student,19493,0,1,0,normic
36,female,1,YouTube,Travel,Australia,Sub_Urban,Student,15682,0,0,1,normic
34,male,5,Instagram,Travel,United States,Sub_Urban,Marketer Manager,15782,1,1,1,normic
36,male,7,Instagram,Travel,United Kingdom,Rural,Software Engineer,10943,0,1,0,normic
45,male,4,Instagram,Sports,United Kingdom,Rural,Student,14550,0,0,1,normic
43,male,4,Instagram,Sports,Australia,Urban,Student,19137,0,1,0,normic
54,male,4,Instagram,Travel,United States,Rural,Software Engineer,10600,1,1,1,normic
43,male,6,Instagram,Travel,United Kingdom,Urban,Marketer Manager,16376,1,1,0,normic
40,male,7,YouTube,Sports,United Kingdom,Rural,Software Engineer,19609,1,0,1,normic
26,non-binary,2,YouTube,Sports,United Kingdom,Sub_Urban,Marketer Manager,11524,1,0,1,normic
29,female,5,Facebook,Sports,Australia,Urban,Software Engineer,13766,0,0,0,normic
18,male,4,YouTube,Sports,United Kingdom,Urban,Software Engineer,10250,1,1,1,normic
18,non-binary,3,YouTube,Travel,United Kingdom,Urban,Software Engineer,19736,0,1,1,chad
64,non-binary,7,Instagram,Sports,United States,Rural,Software Engineer,10078,0,0,1,normic
51,non-binary,6,Instagram,Travel,United States,Sub_Urban,Marketer Manager,13123,0,0,1,normic
49,female,7,YouTube,Lifestlye,United Kingdom,Urban,Marketer Manager,19089,0,0,1,normic
42,male,5,Facebook,Lifestlye,United Kingdom,Urban,Student,17064,0,1,0,normic
57,non-binary,6,Instagram,Sports,United States,Urban,Software Engineer,18417,0,0,1,normic
62,female,5,YouTube,Lifestlye,Australia,Urban,Marketer Manager,11209,1,1,1,normic
18,female,7,YouTube,Lifestlye,Australia,Sub_Urban,Marketer Manager,15153,1,0,0,normic
33,female,2,Facebook,Lifestlye,Australia,Rural,Marketer Manager,14898,1,1,0,normic
56,non-binary,5,Facebook,Sports,Australia,Sub_Urban,Software Engineer,12178,1,1,0,normic
22,male,6,Instagram,Sports,Australia,Urban,Student,17610,1,0,1,normic
39,non-binary,6,Facebook,Lifestlye,Australia,Sub_Urban,Marketer Manager,18895,0,1,1,chad
46,non-binary,5,YouTube,Travel,Australia,Urban,Software Engineer,12544,1,0,1,normic
20,male,7,YouTube,Lifestlye,Australia,Rural,Marketer Manager,15522,1,1,1,normic
29,male,8,Facebook,Sports,United States,Rural,Marketer Manager,12370,1,1,0,normic
43,male,7,Facebook,Sports,Australia,Rural,Student,13281,0,0,0,normic
33,female,5,Facebook,Sports,Australia,Urban,Marketer Manager,14710,0,1,1,normic
54,male,1,Facebook,Lifestlye,Australia,Sub_Urban,Marketer Manager,10328,0,0,1,normic
39,non-binary,5,Instagram,Travel,United Kingdom,Rural,Software Engineer,15579,1,0,1,normic
46,male,2,Facebook,Sports,United States,Urban,Software Engineer,14228,1,0,1,normic
31,non-binary,5,Instagram,Sports,United States,Urban,Student,16794,1,1,0,normic
45,female,5,YouTube,Lifestlye,United States,Sub_Urban,Software Engineer,10120,1,1,0,normic
22,non-binary,2,Facebook,Travel,Australia,Rural,Software Engineer,16749,1,1,1,normic
64,non-binary,5,Instagram,Lifestlye,Australia,Urban,Student,10964,0,0,0,normic
47,male,4,Facebook,Sports,United Kingdom,Sub_Urban,Marketer Manager,14224,1,0,1,normic
63,male,1,YouTube,Travel,United States,Rural,Student,13675,0,1,1,normic
22,non-binary,3,YouTube,Travel,Australia,Sub_Urban,Software Engineer,15694,1,1,0,normic
29,male,1,YouTube,Sports,United States,Sub_Urban,Student,12076,0,0,1,normic
33,female,5,Facebook,Travel,United Kingdom,Urban,Marketer Manager,16865,0,1,0,normic
43,female,4,Facebook,Travel,United Kingdom,Urban,Student,15643,0,0,1,normic
43,male,7,Instagram,Lifestlye,United Kingdom,Urban,Software Engineer,18524,0,1,0,normic
38,female,5,YouTube,Sports,United States,Sub_Urban,Software Engineer,15249,1,0,1,normic
56,male,4,Facebook,Sports,Australia,Urban,Student,11316,1,1,0,normic
53,non-binary,2,YouTube,Sports,Australia,Sub_Urban,Marketer Manager,11196,1,1,1,normic
50,non-binary,4,YouTube,Sports,United Kingdom,Sub_Urban,Student,13170,0,0,1,normic
47,female,2,Instagram,Sports,Australia,Urban,Marketer Manager,19621,1,0,0,normic
54,male,8,Instagram,Travel,United Kingdom,Rural,Marketer Manager,10355,1,0,1,normic
40,male,3,Instagram,Lifestlye,United States,Rural,Student,19718,1,1,0,normic
27,female,9,Instagram,Sports,United Kingdom,Rural,Marketer Manager,10028,1,0,0,loser
22,non-binary,4,YouTube,Lifestlye,United States,Sub_Urban,Software Engineer,11013,0,0,1,normic
53,female,6,Instagram,Lifestlye,United Kingdom,Sub_Urban,Student,19019,0,1,1,chad
51,non-binary,5,Instagram,Travel,Australia,Sub_Urban,Marketer Manager,12024,1,0,1,normic
48,male,1,Instagram,Sports,Australia,Urban,Software Engineer,18490,1,0,1,normic
27,non-binary,9,Instagram,Travel,United Kingdom,Sub_Urban,Student,15839,1,0,0,normic
36,female,1,YouTube,Sports,Australia,Urban,Software Engineer,15791,0,1,1,chad
49,male,8,Instagram,Travel,Australia,Urban,Software Engineer,10754,0,1,1,normic
18,female,9,YouTube,Lifestlye,Australia,Rural,Software Engineer,18961,0,1,1,chad
22,female,9,Facebook,Sports,United States,Rural,Marketer Manager,13735,1,0,0,loser
62,non-binary,1,YouTube,Lifestlye,Australia,Rural,Student,11238,0,1,1,normic
21,female,2,YouTube,Lifestlye,United States,Urban,Student,11906,0,0,0,normic
33,non-binary,1,Instagram,Travel,United Kingdom,Urban,Marketer Manager,17399,0,0,1,normic
41,male,2,Facebook,Sports,Australia,Urban,Student,17961,0,0,0,normic
33,non-binary,8,Facebook,Lifestlye,Australia,Sub_Urban,Software Engineer,19756,0,1,1,chad
19,male,5,Facebook,Travel,Australia,Urban,Student,19410,1,1,1,normic
45,non-binary,7,Facebook,Sports,United Kingdom,Rural,Marketer Manager,14601,1,0,0,loser
49,female,2,YouTube,Sports,United States,Rural,Software Engineer,19549,1,0,1,normic
44,non-binary,8,Facebook,Lifestlye,United States,Urban,Marketer Manager,11460,1,1,1,normic
37,non-binary,6,YouTube,Sports,Australia,Urban,Software Engineer,17669,0,1,1,chad
41,male,8,YouTube,Lifestlye,United Kingdom,Rural,Software Engineer,11416,1,1,0,normic
